Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
E100054,Operations,49,140350,17,36,56,No
E100055,Sales,43,113021,17,39,69,No
E100056,Support,38,50805,6,41,60,No
E100057,HR,55,37857,3,46,43,No
E100058,Engineering,27,41620,12,36,63,No
E100059,Marketing,27,38177,16,51,63,No
E100060,Engineering,55,60111,23,37,76,Yes
E100061,Operations,22,118578,1,36,24,No
E100062,Marketing,31,114181,13,33,52,No
E100063,HR,42,119941,2,32,23,No
E100064,Operations,26,41826,4,48,36,No
E100065,Finance,23,43890,13,44,54,No
E100066,Sales,43,112428,2,33,11,No
E100067,HR,23,147067,22,54,80,Yes
E100068,Sales,31,88031,6,38,46,No
E100069,IT,55,149440,17,42,66,No
E100070,Finance,37,142134,12,47,67,No
E100071,Finance,43,105020,22,50,100,Yes
E100072,HR,33,35495,21,45,77,Yes
E100073,Finance,45,58481,9,30,44,No
E100074,Marketing,59,41267,24,33,72,No
E100075,Finance,31,147897,12,47,92,Yes
E100076,Sales,56,135702,15,37,28,No
E100077,Sales,53,36743,8,49,52,No
E100078,Operations,28,84800,1,45,47,No
E100079,Sales,42,133475,22,50,80,Yes
E100080,Operations,41,78773,4,40,46,No
E100081,Sales,47,87042,21,49,84,Yes
E100082,Marketing,25,79476,16,50,85,Yes
E100083,Support,43,122105,22,50,77,Yes
E100084,Operations,36,58552,21,50,88,Yes
E100085,Engineering,42,95242,3,56,62,No
E100086,IT,36,75772,16,48,75,No
E100087,HR,43,73730,8,52,64,No
E100088,Sales,49,58948,19,48,92,Yes
E100089,Finance,35,106311,1,47,26,No
E100090,Support,48,99093,23,48,89,Yes
E100091,Sales,49,99123,17,40,54,No
E100092,Finance,47,46535,20,32,70,No
E100093,IT,23,96490,21,37,62,No
E100094,IT,46,76562,10,49,38,No
E100095,IT,24,149042,12,48,73,No
E100096,Finance,29,119080,7,39,42,No
E100097,Sales,54,88535,0,45,42,No
E100098,IT,56,128991,16,34,71,No
E100099,Marketing,27,71269,11,49,69,No
E100100,Operations,44,110674,3,38,37,No
E100101,Finance,46,72462,20,37,68,No
E100102,Finance,40,33127,12,40,45,No
E100103,Sales,26,53147,8,45,52,No
E100104,Finance,32,75528,6,36,59,No
E100105,Finance,33,107095,22,44,77,Yes
E100106,IT,31,143100,23,53,92,Yes
E100107,Sales,29,98931,4,58,74,No
E100108,IT,45,120925,4,50,37,No
E100109,Operations,49,96381,16,49,81,Yes
E100110,Support,57,129468,8,52,47,No
E100111,Operations,58,141258,5,46,53,No
E100112,Support,42,93749,24,35,74,No
E100113,IT,29,68672,18,44,79,Yes
E100114,Operations,30,43731,15,37,48,No
E100115,Sales,36,84512,20,36,62,No
E100116,HR,39,128658,1,31,30,No
E100117,IT,41,81024,9,59,68,No
E100118,Support,27,146712,15,42,72,No
E100119,Marketing,33,131121,4,59,65,No
E100120,Support,23,33832,14,52,70,No
E100121,Marketing,28,62332,12,58,74,No
E100122,Finance,37,42467,12,35,50,No
E100123,Operations,24,71025,12,58,75,No
E100124,Marketing,24,43107,14,34,60,No
E100125,Support,48,107994,13,49,65,No
E100126,Finance,59,124202,7,30,28,No
E100127,HR,54,73481,10,58,83,No
E100128,Sales,49,32581,17,47,70,No
E100129,Sales,22,105118,23,44,77,Yes
E100130,Sales,29,81638,3,52,28,No
E100131,Marketing,58,38418,9,39,38,No
E100132,HR,53,123627,0,32,14,No
E100133,Marketing,58,59113,4,34,27,No
E100134,Operations,25,114363,12,53,64,No
E100135,Marketing,51,93044,0,58,63,No
E100136,HR,27,109955,22,42,71,No
E100137,HR,40,91030,7,37,35,No
E100138,Operations,53,41814,2,51,51,No
E100139,HR,30,129340,2,50,37,No
E100140,Support,33,40024,6,58,81,No
E100141,HR,32,93288,3,31,35,No
E100142,Sales,37,139236,2,38,22,No
E100143,Support,22,87836,14,46,77,Yes
E100144,Support,42,37435,7,56,77,No
E100145,Operations,51,97084,2,47,33,No
E100146,Engineering,34,100601,6,42,35,No
E100147,Engineering,55,118416,17,30,48,No
E100148,HR,25,148645,10,41,39,No
E100149,Support,49,33407,10,49,55,No
E100150,Engineering,59,128943,16,49,71,No
E100151,Engineering,52,62940,5,50,59,No
E100152,HR,48,35666,7,34,40,No
E100153,Engineering,26,67122,0,37,27,No
E100154,Marketing,46,148647,9,56,64,No
E100155,Finance,24,55092,24,44,72,No
E100156,Operations,54,105645,18,56,93,Yes
E100157,Finance,25,131190,2,32,32,No
E100158,HR,46,130468,3,35,26,No
E100159,Sales,41,56505,10,57,61,No
E100160,Operations,55,66713,14,42,78,Yes
E100161,HR,47,84387,0,41,36,No
E100162,Support,26,73169,8,48,62,No
E100163,Sales,56,103282,10,58,78,No
E100164,Finance,49,107511,18,47,64,No
E100165,HR,50,81742,12,53,87,Yes
E100166,Support,30,70522,15,30,46,No
E100167,Operations,59,111132,3,54,63,No
E100168,Operations,27,149622,0,56,66,No
E100169,IT,40,148764,19,36,66,No
E100170,Support,32,133489,12,41,45,No
E100171,Marketing,23,129397,0,39,6,No
E100172,Engineering,30,33880,4,58,61,No
E100173,Sales,42,73454,4,41,44,No
E100174,Support,45,85711,13,40,52,No
E100175,IT,55,73539,22,33,69,No
E100176,Engineering,43,138984,13,48,72,No
E100177,Engineering,24,98321,7,35,50,No
E100178,HR,33,117985,3,54,53,No
E100179,Engineering,49,44799,6,38,41,No
E100180,Marketing,51,144584,19,49,79,Yes
E100181,Operations,47,134843,18,39,67,No
E100182,IT,42,90102,14,34,48,No
E100183,Engineering,49,80726,21,56,88,Yes
E100184,HR,47,78784,3,42,36,No
E100185,Marketing,54,143034,18,38,67,No
E100186,Finance,42,73333,8,31,29,No
E100187,Operations,56,70828,20,47,76,Yes
E100188,Operations,55,99526,12,50,86,Yes
E100189,IT,39,84362,13,30,55,No
E100190,Operations,32,83997,22,53,82,Yes
E100191,Engineering,44,80341,13,50,79,Yes
E100192,HR,43,49073,21,41,81,Yes
E100193,Operations,38,132399,9,39,48,No
E100194,Operations,26,44549,15,31,44,No
E100195,Finance,32,113795,4,57,52,No
E100196,Finance,51,86920,22,38,76,Yes
E100197,Sales,36,115326,5,31,23,No
E100198,Marketing,48,105515,1,52,59,No
E100199,Engineering,56,50316,12,53,85,Yes
E100200,Operations,54,56183,12,59,78,Yes
E100201,Support,41,123860,18,51,93,Yes
E100202,Operations,37,54624,17,43,65,No
E100203,HR,55,92515,18,40,61,No
E100204,Sales,23,133712,0,52,57,No
E100205,Marketing,56,115781,7,40,62,No
E100206,Support,49,76705,21,46,100,Yes
E100207,Sales,27,119326,15,33,57,No
E100208,IT,30,56756,1,42,45,No
E100209,Marketing,41,90390,7,36,44,No
E100210,Operations,22,98369,5,45,62,No
E100211,Operations,29,100821,15,30,54,No
E100212,Marketing,44,39589,22,42,86,Yes
E100213,Operations,24,143012,10,30,29,No
E100214,Engineering,25,44116,16,40,62,No
E100215,Marketing,46,103181,22,35,78,Yes
E100216,Sales,59,74786,18,49,86,Yes
E100217,Marketing,36,124686,10,32,51,No
E100218,Support,42,106425,7,41,48,No
E100219,Operations,56,60286,21,34,60,No
E100220,Engineering,35,133081,3,38,35,No
E100221,Engineering,57,45994,10,55,70,No
E100222,IT,33,131039,7,55,66,No
E100223,Sales,38,141915,8,41,40,No
E100224,Finance,30,120198,1,59,54,No
E100225,Finance,56,134672,15,59,84,Yes
E100226,Marketing,34,56639,5,57,40,No
E100227,IT,36,47205,20,56,100,Yes
E100228,HR,39,86677,20,39,72,No
E100229,Marketing,54,62930,18,48,80,Yes
E100230,IT,27,103313,7,34,34,No
E100231,Sales,48,123851,13,55,82,Yes
E100232,Sales,44,143153,23,34,62,No
E100233,Sales,48,122509,15,38,53,No
E100234,Sales,55,48316,11,56,79,Yes
E100235,Sales,59,57304,4,57,64,No
E100236,IT,35,131839,23,55,83,Yes
E100237,IT,57,126058,23,56,100,Yes
E100238,Engineering,29,117876,18,49,71,No
E100239,Support,56,115366,17,46,72,No
E100240,Finance,40,43403,8,39,64,No
E100241,Operations,51,110052,1,50,25,No
E100242,Sales,35,147478,24,30,51,No
E100243,HR,41,114627,19,51,88,Yes
E100244,Operations,46,103495,11,57,50,No
E100245,IT,45,61932,1,45,20,No
E100246,HR,35,126090,9,55,80,No
E100247,HR,47,66701,0,55,46,No
E100248,HR,59,33385,3,44,65,No
E100249,Engineering,44,129226,24,52,84,Yes
E100250,IT,43,87241,11,46,58,No
E100251,HR,40,40367,8,55,71,No
E100252,Sales,24,95030,3,49,54,No
E100253,Marketing,40,76505,8,54,62,No
E100254,HR,30,63332,5,42,38,No
E100255,Engineering,49,115178,0,30,22,No
E100256,Operations,41,106325,9,54,81,No
E100257,IT,28,65268,13,37,62,No
E100258,Support,35,116486,21,34,60,No
E100259,Engineering,30,55563,24,35,64,No
E100260,HR,40,135185,17,52,73,No
E100261,IT,35,66404,5,49,40,No
E100262,Marketing,59,85182,17,59,90,Yes
E100263,HR,57,62991,19,43,82,Yes
E100264,Engineering,38,134601,15,51,74,No
E100265,Finance,51,77663,14,52,92,Yes
E100266,Sales,30,95886,15,40,80,Yes
E100267,Support,54,113848,7,35,43,No
E100268,Operations,46,54127,12,40,63,No
E100269,Engineering,35,87692,22,42,69,No
E100270,IT,32,124389,10,41,50,No
E100271,Support,56,67500,24,51,100,Yes
E100272,Support,35,63785,6,31,27,No
E100273,Support,51,114146,16,50,91,Yes
E100274,HR,25,119126,17,32,68,No
E100275,Sales,25,124979,21,52,96,Yes
E100276,HR,49,77997,22,33,56,No
E100277,IT,29,37170,18,46,72,No
E100278,HR,23,43303,24,57,100,Yes
E100279,Finance,43,101743,12,57,67,No
E100280,Sales,37,107852,14,51,71,No
E100281,Sales,50,65187,22,35,78,Yes
E100282,IT,51,95034,21,36,64,No
E100283,Operations,33,101776,21,44,70,No
E100284,Finance,56,31893,0,40,14,No
E100285,Engineering,32,43753,15,53,74,No
E100286,HR,42,68090,4,32,38,No
E100287,Marketing,42,94922,2,59,50,No
E100288,HR,26,106768,22,35,70,No
E100289,Support,41,89412,9,55,66,No
E100290,HR,58,86030,18,31,51,No
E100291,Engineering,24,47509,4,58,70,No
E100292,HR,54,98653,6,43,64,No
E100293,Finance,30,66929,13,38,66,No
E100294,Finance,30,78291,2,47,37,No
E100295,Sales,25,34042,12,48,86,Yes
E100296,IT,56,92574,12,41,67,No
E100297,Operations,38,67201,9,42,48,No
E100298,Marketing,55,122282,1,55,44,No
E100299,Support,45,44016,5,41,54,No
E100300,HR,53,55022,7,41,49,No
E100301,HR,22,130962,3,47,38,No
E100302,Engineering,29,57938,24,38,76,Yes
E100303,IT,44,73678,11,46,57,No
E100304,Finance,33,148171,14,50,64,No
E100305,Marketing,33,131248,7,45,62,No
E100306,Sales,36,91720,6,46,59,No
E100307,Finance,40,135514,13,50,78,Yes
E100308,Support,47,86805,22,53,100,Yes
E100309,IT,50,104323,18,37,55,No
E100310,Support,43,31986,13,40,52,No
E100311,Operations,42,106478,21,53,100,Yes
E100312,Sales,59,112994,12,31,46,No
E100313,Operations,41,42161,20,37,54,No
E100314,Engineering,50,50689,0,41,35,No
E100315,Support,25,124699,18,50,87,Yes
E100316,Engineering,28,90924,0,30,25,No
E100317,HR,49,131311,3,52,43,No
E100318,Operations,49,129273,9,42,71,No
E100319,IT,25,104308,2,51,34,No
E100320,Support,43,131128,19,50,83,Yes
E100321,Marketing,33,93745,8,46,73,No
E100322,Sales,24,31211,2,43,46,No
E100323,Finance,43,30229,5,43,54,No
E100324,IT,23,148972,5,45,37,No
E100325,IT,45,78542,22,46,87,Yes
E100326,Engineering,55,44345,24,35,74,No
E100327,Operations,48,131489,11,55,61,No
E100328,Support,22,61819,22,57,100,Yes
E100329,Support,29,77779,0,36,19,No
E100330,HR,44,112421,15,55,73,No
E100331,HR,59,122244,23,55,100,Yes
E100332,Sales,27,95584,4,30,27,No
E100333,Engineering,43,49950,8,54,66,No
E100334,IT,46,45173,9,44,53,No
E100335,Support,39,147743,12,49,81,Yes
E100336,Marketing,38,88032,14,50,63,No
E100337,Engineering,33,145074,11,47,58,No
E100338,Sales,27,129273,4,59,68,No
E100339,Sales,47,58036,4,57,51,No
E100340,Engineering,48,142857,17,55,74,No
E100341,Sales,29,101356,11,42,58,No
E100342,Engineering,40,44292,2,53,60,No
E100343,Finance,22,33052,24,59,100,Yes
E100344,Engineering,50,74377,6,31,34,No
E100345,Operations,56,119317,16,48,67,No
E100346,Engineering,35,97838,18,44,76,Yes
E100347,Sales,56,97819,17,41,73,No
E100348,Support,41,143689,0,44,39,No
E100349,Operations,34,138103,24,54,100,Yes
E100350,Sales,59,45620,23,47,76,Yes
E100351,HR,29,60461,4,43,37,No
E100352,HR,41,50750,1,35,39,No
E100353,Support,54,128426,0,41,18,No
E100354,Support,47,118719,6,49,49,No
E100355,Operations,42,39472,10,52,59,No
E100356,Finance,30,99263,10,59,59,No
E100357,Support,45,142036,17,59,87,Yes
E100358,HR,58,87602,16,35,65,No
E100359,Engineering,38,55523,1,55,54,No
E100360,Sales,45,60766,6,59,75,No
E100361,HR,42,133262,6,38,54,No
E100362,HR,34,96060,9,59,69,No
E100363,Finance,32,39079,21,54,100,Yes
E100364,Operations,40,38399,20,55,87,Yes
E100365,Operations,32,90726,2,33,25,No
E100366,IT,34,122906,11,46,54,No
E100367,Finance,22,46532,2,31,31,No
E100368,Engineering,40,112357,10,45,55,No
E100369,Operations,33,73162,11,53,69,No
E100370,Sales,29,33749,24,43,82,Yes
E100371,Support,29,41353,3,55,54,No
E100372,Finance,33,142313,24,37,78,Yes
E100373,Support,54,58477,15,43,61,No
E100374,HR,47,54570,19,31,55,No
E100375,Sales,49,116373,17,45,83,Yes
E100376,Sales,26,41437,3,33,27,No
E100377,HR,29,68104,21,30,66,No
E100378,Finance,46,93370,5,52,48,No
E100379,HR,48,34551,20,49,78,Yes
E100380,Support,44,98359,14,56,67,No
E100381,IT,51,84880,0,43,54,No
E100382,Sales,44,42916,2,37,46,No
E100383,Marketing,41,110703,4,54,63,No
E100384,Marketing,39,71445,21,57,100,Yes
E100385,Support,39,77636,16,54,89,Yes
E100386,Engineering,23,103927,13,32,47,No
E100387,Operations,25,108194,8,34,45,No
E100388,HR,51,59685,2,35,44,No
E100389,HR,54,81134,12,51,60,No
E100390,Engineering,57,118916,2,55,42,No
E100391,Engineering,39,137967,10,37,52,No
E100392,Support,58,124455,1,35,22,No
E100393,Support,40,97847,23,35,49,No
E100394,Engineering,49,69993,14,33,39,No
E100395,Sales,41,74333,12,36,48,No
E100396,Support,54,138574,18,59,91,Yes
E100397,IT,33,88865,21,59,98,Yes
E100398,Support,36,109096,15,53,98,Yes
E100399,HR,23,79756,17,48,74,No
E100400,Support,50,91192,6,36,42,No
E100401,Sales,31,90686,12,32,30,No
E100402,Engineering,23,78733,3,37,34,No
E100403,HR,32,134089,8,30,39,No
E100404,Support,34,55993,9,30,24,No
E100405,Sales,31,60492,8,43,42,No
E100406,IT,35,50981,6,35,43,No
E100407,Support,39,54143,14,39,53,No
E100408,Sales,30,107603,7,54,62,No
E100409,IT,49,119452,18,57,94,Yes
E100410,Engineering,24,90277,10,43,76,No
E100411,Support,41,137044,4,33,29,No
E100412,IT,27,141957,1,35,46,No
E100413,HR,48,79990,9,45,36,No
E100414,Engineering,23,92888,15,57,84,Yes
E100415,HR,50,99351,22,50,85,Yes
E100416,Marketing,59,127372,12,57,71,No
E100417,Finance,24,79999,7,30,41,No
E100418,Support,37,133013,8,35,40,No
E100419,IT,51,132811,10,38,29,No
E100420,Finance,23,134879,10,44,41,No
E100421,Finance,38,100309,22,41,84,Yes
E100422,IT,33,42446,15,32,36,No
E100423,Engineering,56,60733,9,40,57,No
E100424,Support,22,149156,23,44,84,Yes
E100425,Marketing,36,106000,11,32,43,No
E100426,HR,47,78632,24,43,83,Yes
E100427,Sales,58,51576,5,31,36,No
E100428,HR,42,33320,11,58,64,No
E100429,Sales,52,40750,9,33,42,No
E100430,HR,46,133002,17,55,73,No
E100431,IT,44,83463,17,48,77,Yes
E100432,Marketing,45,56572,3,41,46,No
E100433,Support,59,148361,8,31,39,No
E100434,Sales,49,47948,6,46,57,No
E100435,Support,42,146528,17,32,49,No
E100436,Support,39,68826,7,39,44,No
E100437,Support,57,119051,10,45,56,No
E100438,Operations,56,57867,6,51,54,No
E100439,Engineering,30,90231,8,38,38,No
E100440,HR,59,96262,7,40,42,No
E100441,Support,51,121356,2,50,37,No
E100442,HR,55,102233,16,44,52,No
E100443,Support,53,74678,1,32,17,No
E100444,Sales,24,137561,14,45,72,No
E100445,Engineering,24,42963,13,59,83,Yes
E100446,Engineering,49,94360,17,50,65,No
E100447,IT,36,79434,15,50,70,No
E100448,Operations,44,96617,19,50,89,Yes
E100449,IT,32,50269,21,57,90,Yes
E100450,IT,53,147569,3,41,25,No
E100451,IT,57,106312,24,52,100,Yes
E100452,IT,54,127352,19,34,61,No
E100453,IT,45,109732,5,36,26,No
E100454,Marketing,55,147658,5,38,41,No
E100455,Engineering,49,137648,10,50,63,No
E100456,IT,58,111494,16,47,57,No
E100457,Support,28,118905,23,50,91,Yes
E100458,Engineering,25,107225,2,37,42,No
E100459,Engineering,58,112867,12,41,55,No
E100460,Finance,22,67528,21,49,64,No
E100461,Marketing,22,108972,2,31,29,No
E100462,IT,41,95602,15,39,67,No
E100463,HR,40,126261,14,48,64,No
E100464,Sales,50,120748,10,38,44,No
E100465,Operations,31,63332,17,54,100,Yes
E100466,Support,39,120937,14,53,69,No
E100467,HR,49,108929,4,37,25,No
E100468,Marketing,56,99206,15,53,78,Yes
E100469,Sales,52,121137,15,53,83,Yes
E100470,Marketing,48,32251,16,53,85,Yes
E100471,Support,32,75717,8,30,11,No
E100472,Engineering,59,129108,22,35,63,No
E100473,Sales,26,57027,2,41,49,No
E100474,Engineering,29,127382,19,54,90,Yes
E100475,Support,55,116551,12,53,59,No
E100476,HR,33,39583,21,48,96,Yes
E100477,Support,59,80387,2,56,65,No
E100478,HR,22,53104,6,46,48,No
E100479,Sales,52,42224,5,31,40,No
E100480,Sales,25,90624,8,40,68,No
E100481,IT,26,86058,11,47,52,No
E100482,Marketing,51,134320,14,52,80,Yes
E100483,IT,45,126372,20,57,100,Yes
E100484,Marketing,24,59299,19,51,90,Yes
E100485,IT,32,108572,2,40,28,No
E100486,Engineering,25,115469,9,47,61,No
E100487,Sales,47,107928,0,37,42,No
E100488,HR,48,103474,18,44,63,No
E100489,Marketing,48,34141,18,38,65,No
E100490,Support,27,53350,22,44,78,Yes
E100491,Marketing,36,105082,22,36,65,No
E100492,HR,51,100871,12,49,69,No
E100493,IT,58,35077,11,42,55,No
E100494,Marketing,58,76015,0,42,41,No
E100495,Operations,58,101147,18,30,67,No
E100496,Engineering,56,89180,23,49,76,Yes
E100497,Sales,44,70857,15,33,54,No
E100498,HR,27,131196,24,53,95,Yes
E100499,Sales,25,89840,22,33,70,No
E100500,Operations,39,89902,22,33,67,No
E100501,Marketing,30,35577,14,42,53,No
E100502,Marketing,50,50002,15,31,66,No
E100503,Support,34,80711,10,57,91,No
E100504,Operations,38,69451,23,55,100,Yes
E100505,HR,53,129811,5,52,62,No
E100506,Support,43,79103,10,44,58,No
E100507,Engineering,25,58647,2,33,37,No
E100508,Support,26,64831,14,56,55,No
E100509,Finance,58,148330,0,35,26,No
E100510,HR,34,130304,6,32,29,No
E100511,Finance,55,126498,0,36,29,No
E100512,Operations,43,143870,16,35,69,No
E100513,IT,44,125119,8,32,39,No
E100514,Finance,24,96830,22,33,64,No
E100515,Engineering,55,110632,12,39,41,No
E100516,Support,53,66833,10,59,74,No
E100517,IT,42,142394,19,50,89,Yes
E100518,Support,42,122864,5,38,31,No
E100519,Finance,32,54398,0,59,35,No
E100520,Support,25,91554,6,35,61,No
E100521,Operations,22,80755,11,58,79,Yes
E100522,IT,49,47706,21,49,83,Yes
E100523,Operations,45,52340,19,56,100,Yes
E100524,Finance,56,94994,22,40,77,Yes
E100525,Operations,34,93884,18,36,77,Yes
E100526,Engineering,55,114361,16,47,85,Yes
E100527,Finance,32,47482,3,33,17,No
E100528,Finance,57,84225,2,34,33,No
E100529,Finance,38,88849,0,33,41,No
E100530,HR,56,104854,17,33,48,No
E100531,Support,39,71256,20,56,81,Yes
E100532,HR,43,139545,14,42,54,No
E100533,HR,45,138721,7,45,61,No
E100534,Engineering,40,111110,0,54,52,No
E100535,IT,58,143606,19,43,54,No
E100536,Support,42,44650,13,40,61,No
E100537,Operations,29,76118,3,58,57,No
E100538,Marketing,49,58930,4,31,28,No
E100539,Finance,26,115707,22,51,81,Yes
E100540,Operations,38,130400,12,43,63,No
E100541,Finance,58,41801,23,53,100,Yes
E100542,Engineering,57,81360,14,53,69,No
E100543,Finance,40,117908,5,56,44,No
E100544,HR,48,46559,0,36,24,No
E100545,Support,55,62334,22,55,100,Yes
E100546,Marketing,32,135473,18,40,64,No
E100547,Sales,33,43288,12,33,33,No
E100548,Finance,42,52398,5,36,45,No
E100549,Operations,32,106230,14,58,96,Yes
E100550,HR,49,42191,15,45,68,No
E100551,Sales,26,48051,23,55,80,Yes
E100552,Marketing,38,91715,22,35,67,No
E100553,Sales,41,40737,15,56,83,Yes
E100554,HR,33,95140,9,35,36,No
E100555,Support,27,55251,21,31,69,No
E100556,Support,38,80975,8,53,55,No
E100557,IT,40,35147,8,37,45,No
E100558,Support,47,80508,16,59,85,Yes
E100559,IT,53,82224,16,56,89,Yes
E100560,Sales,27,49643,16,36,59,No
E100561,Engineering,57,68967,23,56,95,Yes
E100562,Operations,59,128850,11,54,63,No
E100563,Operations,32,133535,12,53,72,No
E100564,Sales,54,70733,11,43,55,No
E100565,Finance,45,114003,13,38,47,No
E100566,Finance,44,64808,9,44,56,No
E100567,Support,36,149222,22,54,96,Yes
E100568,Operations,48,97288,18,51,78,Yes
E100569,Operations,32,88959,1,47,52,No
E100570,IT,38,31849,3,41,42,No
E100571,Engineering,35,98178,18,52,70,No
E100572,HR,48,97136,6,48,67,No
E100573,Finance,39,90740,14,42,70,No
E100574,Operations,49,142255,14,36,65,No
E100575,IT,25,116322,23,54,99,Yes
E100576,Marketing,28,74565,5,39,17,No
E100577,IT,56,50183,2,59,70,No
E100578,Finance,30,145306,5,39,41,No
E100579,Finance,29,31132,15,31,55,No
E100580,IT,38,68259,1,43,43,No
E100581,HR,38,126612,6,42,66,No
E100582,Sales,54,93668,10,51,60,No
E100583,Finance,53,68563,6,58,60,No
E100584,IT,29,122227,3,35,23,No
E100585,Operations,40,138835,23,38,65,No
E100586,IT,59,40931,19,42,62,No
E100587,Engineering,24,103169,6,38,23,No
E100588,Sales,26,80639,3,42,45,No
E100589,Marketing,34,133313,11,34,67,No
E100590,HR,52,88901,4,43,64,No
E100591,Support,37,130417,22,34,60,No
E100592,Marketing,53,31044,18,38,63,No
E100593,Sales,43,76691,4,37,49,No
E100594,Sales,50,130735,18,36,68,No
E100595,Sales,43,54363,20,37,70,No
E100596,Marketing,24,76694,2,51,47,No
E100597,Operations,31,31582,10,32,54,No
E100598,Sales,42,109910,6,52,48,No
E100599,IT,37,96844,16,53,84,Yes
E100600,Marketing,33,51301,24,44,88,Yes
E100601,Support,23,104329,8,37,45,No
E100602,Sales,45,31620,20,30,68,No
E100603,IT,56,92224,8,36,44,No
E100604,Operations,51,86655,9,48,54,No
E100605,Engineering,51,125419,12,31,46,No
E100606,Operations,56,67534,14,43,48,No
E100607,Support,40,133496,21,47,89,Yes
E100608,Sales,29,69390,4,59,71,No
E100609,Support,47,101629,2,44,34,No
E100610,Marketing,28,85856,7,43,41,No
E100611,Finance,51,79252,19,53,79,Yes
E100612,Sales,28,85809,9,54,66,No
E100613,Finance,24,52259,12,48,68,No
E100614,IT,22,50655,2,59,75,No
E100615,Engineering,57,63005,21,48,98,Yes
E100616,HR,46,61629,7,51,68,No
E100617,Support,58,53610,8,56,68,No
E100618,Operations,22,87184,21,55,83,Yes
E100619,Engineering,36,51602,20,46,96,Yes
E100620,Sales,58,115945,11,51,65,No
E100621,Finance,34,41110,10,57,75,No
E100622,Operations,29,36073,1,48,50,No
E100623,Finance,26,130846,17,56,86,Yes
E100624,Marketing,30,110818,8,45,66,No
E100625,Finance,22,40195,1,49,49,No
E100626,Marketing,57,31537,1,54,61,No
E100627,IT,56,47138,2,48,50,No
E100628,Operations,23,74328,15,30,50,No
E100629,Operations,44,76202,18,48,78,Yes
E100630,HR,30,70164,3,36,33,No
E100631,Sales,55,119743,22,58,85,Yes
E100632,Marketing,35,84659,24,52,84,Yes
E100633,HR,25,116155,17,40,73,No
E100634,Finance,51,79692,19,34,50,No
E100635,Finance,52,54845,24,59,99,Yes
E100636,HR,59,119846,17,46,63,No
E100637,Operations,32,133435,9,40,45,No
E100638,Finance,56,60562,10,53,66,No
E100639,Support,29,58036,16,55,78,Yes
E100640,IT,24,90752,23,37,60,No
E100641,IT,35,104233,24,39,77,Yes
E100642,Support,34,113049,22,41,68,No
E100643,HR,53,138575,23,39,70,No
E100644,Support,55,98681,19,42,80,Yes
E100645,Marketing,40,57818,15,55,90,Yes
E100646,Marketing,59,60544,19,47,65,No
E100647,HR,37,92532,12,39,70,No
E100648,Support,23,108636,1,48,38,No
E100649,Marketing,38,87705,23,49,83,Yes
E100650,Operations,55,50104,1,46,32,No
E100651,Support,37,99603,24,49,91,Yes
